Site/Division,Jira Ticket #,State,Name,Notes,Merge,Legacy URL,New URL,Page Title
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/218bcd87-b4a1-43b3-b5da-702cd21eb18f,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/d43a588a-b278-4405-8c0e-3e85340ecf80,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/c3f352fc-297c-438e-840f-ed480d0e4c2f,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/cd9c3226-6cfb-43ca-a1b1-33084ecf663f,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/0808e6a3-9149-496f-9d83-a11ac2402704,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/98d30328-ed1e-429c-9c70-0d7235c62a35,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/07457af6-6014-4cb2-a850-d7b246bb474e,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/b6c7a332-062e-4bde-9f5b-6cffc402a9b6,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/cfa0fbfb-f8e0-45f7-8d00-8263c575bdf1,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/f888829b-fbf3-44b7-b5d5-ec67689f6f6e,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/cda85154-33a2-49e7-bdd9-f79861246e0d,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/0b9fff83-47b9-4f5a-9161-03346523c78e,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/4e703801-bd2c-4b4c-aa7d-128ce0f2c04b,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/83475e90-7b70-4680-b21f-213c722371b9,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/4b0ec544-2045-4948-a3d7-c348c7aa0fbb,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/72356f1c-feb2-44f3-8abf-0e7576307d02,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/7178ff9e-f33e-4c31-99ba-18307a092518,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/0c8b4575-ebd1-4dc6-9888-70f3f0ae8248,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/148acab7-113c-4bba-a53a-c16270c26cad,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/b14bb5ca-7b74-4e97-a1bd-21a8a1f21ac5,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/00d275b8-d895-49d6-83b2-cf65990794cd,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/2a50840b-2090-439c-a949-e2365dcd9aa7,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/1afa098b-e67e-48c4-a1b2-3d00a9d90595,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/c27083a5-4d8b-48ae-899f-c1619128eb04,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/c5a0c34c-30be-4796-924f-2431b87f43a6,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/e74cb4d0-6a66-4494-86be-d6b39031d11d,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/c7ddd109-ecc3-47de-9686-4dc9b65106f7,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/b674c53e-240c-46b6-a1d0-71b1c005ac85,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/64958543-42dd-4acf-80da-ecdc8caa88d8,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/5e636979-e7c4-4299-96bc-68bda851e926,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/fceddf9a-89fb-4c8d-8b0f-0408f0ff25ea,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/85e4fc40-565c-4c2f-a650-f64264bc29e2,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/d7b8f481-9d8a-4579-b13c-e1c41795d238,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/5d947692-7d74-4966-8ec6-305720b2ddd1,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/9e79ae6f-140e-4403-a3e2-43253a6207f0,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/842e99c7-67b1-43eb-af1c-c67f5b890264,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/1847538b-1fcf-49f8-b929-c976c669955b,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/6b75faa0-1ebc-4924-9efd-9e458627047f,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/1f8a99db-3359-4a95-b35a-0ff4efefa85b,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/a46d0f73-4bbe-4117-a297-768c275ac10d,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/8711ce65-3327-4438-b6b3-7146be11aa58,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/13caf444-f747-4cce-abfe-816a7e97cc3e,,DCI News
